File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],
"w1,7_h3,1_ts500_phic_1ml,min_200fps_1",1.7,3.1,0.6,1,200,1191,1199,1664,0.04,,0.666666667,38.75,perm
,1.7,3.1,0.6,2,200,1817,1822,2477,0.025,0.79,0.416666667,54.58333333,perm
,1.7,3.1,0.6,3,200,2617,2620,3128,0.015,0.715,0.25,42.33333333,perm
,1.7,3.1,0.6,4,200,3258,3261,3802,0.015,0.665,0.25,45.08333333,perm
,1.7,3.1,0.6,5,200,3914,3927,4481,0.065,0.625,1.083333333,46.16666667,perm
,1.7,3.1,0.6,6,200,4594,4604,5243,0.05,0.615,0.833333333,53.25,perm
,1.7,3.1,0.6,7,200,5351,5361,6033,0.05,0.59,0.833333333,56,perm
,1.7,3.1,0.6,8,200,6138,6144,6731,0.03,0.555,0.5,48.91666667,perm
,1.7,3.1,0.6,9,200,6834,6845,7334,0.055,0.57,0.916666667,40.75,perm
,1.7,3.1,0.6,10,200,7438,7440,7933,0.01,0.53,0.166666667,41.08333333,perm
,1.7,3.1,0.6,11,200,8048,8052,8661,0.02,0.595,0.333333333,50.75,perm
,1.7,3.1,0.6,12,200,8771,8775,9428,0.02,0.57,0.333333333,54.41666667,perm
,1.7,3.1,0.6,13,200,9543,9548,10175,0.025,0.6,0.416666667,52.25,perm
,1.7,3.1,0.6,14,200,10278,10285,10902,0.035,0.55,0.583333333,51.41666667,perm
,1.7,3.1,0.6,15,200,11005,11009,11754,0.02,0.535,0.333333333,62.08333333,perm
,1.7,3.1,0.6,16,200,11865,11868,12587,0.015,0.57,0.25,59.91666667,perm
,1.7,3.1,0.6,17,200,12726,12730,13311,0.02,0.715,0.333333333,48.41666667,perm
,1.7,3.1,0.6,18,200,13418,13421,14149,0.015,0.55,0.25,60.66666667,perm
,1.7,3.1,0.6,19,200,14259,14270,14937,0.055,0.605,0.916666667,55.58333333,perm
,1.7,3.1,0.6,20,200,15049,15051,15688,0.01,0.57,0.166666667,53.08333333,perm
,1.7,3.1,0.6,21,200,15854,15859,16511,0.025,0.855,0.416666667,54.33333333,perm
,1.7,3.1,0.6,22,200,16625,16646,17377,0.105,0.675,1.75,60.91666667,perm
,1.7,3.1,0.6,23,200,17507,17518,18278,0.055,0.705,0.916666667,63.33333333,perm
,1.7,3.1,0.6,24,200,18419,18437,19248,0.09,0.795,1.5,67.58333333,perm
,,,,,200,19362,19396,,0.17,0.74,,,temp
,,,,,,,,,,,,,
"w1,7_h3,1_ts500_phic_1ml,min_200fps_2",1.7,3.1,0.6,1,200,731,736,1307,0.025,,0.416666667,47.58333333,perm
,1.7,3.1,0.6,2,200,1450,1453,1986,0.015,0.73,0.25,44.41666667,perm
,1.7,3.1,0.6,3,200,2142,2153,2692,0.055,0.835,0.916666667,44.91666667,perm
,1.7,3.1,0.6,4,200,2842,2860,3435,0.09,0.84,1.5,47.91666667,perm
,1.7,3.1,0.6,5,200,3563,3571,4195,0.04,0.68,0.666666667,52,perm
,1.7,3.1,0.6,6,200,4345,4354,4943,0.045,0.795,0.75,49.08333333,perm
,1.7,3.1,0.6,7,200,5082,5090,5660,0.04,0.735,0.666666667,47.5,perm
,1.7,3.1,0.6,8,200,5776,5783,6328,0.035,0.615,0.583333333,45.41666667,perm
,1.7,3.1,0.6,9,200,6440,6444,6394,0.02,0.58,0.333333333,-4.166666667,perm
,1.7,3.1,0.6,10,200,7041,7044,7767,0.015,3.25,0.25,60.25,perm
,1.7,3.1,0.6,11,200,7883,7891,8602,0.04,0.62,0.666666667,59.25,perm
,1.7,3.1,0.6,12,200,8750,8781,9515,0.155,0.895,2.583333333,61.16666667,perm
,1.7,3.1,0.6,13,200,9642,9650,10267,0.04,0.675,0.666666667,51.41666667,perm
,1.7,3.1,0.6,14,200,10378,10390,10991,0.06,0.615,1,50.08333333,perm
,1.7,3.1,0.6,15,200,11115,11126,11709,0.055,0.675,0.916666667,48.58333333,perm
,1.7,3.1,0.6,16,200,11825,11828,12505,0.015,0.595,0.25,56.41666667,perm
,1.7,3.1,0.6,17,200,12663,12667,13304,0.02,0.81,0.333333333,53.08333333,perm
,1.7,3.1,0.6,18,200,13424,13429,14035,0.025,0.625,0.416666667,50.5,perm
,1.7,3.1,0.6,19,200,14147,14153,14605,0.03,0.59,0.5,37.66666667,perm
,1.7,3.1,0.6,20,200,14723,14726,15460,0.015,0.605,0.25,61.16666667,perm
,1.7,3.1,0.6,21,200,15572,15578,16190,0.03,0.59,0.5,51,perm
,1.7,3.1,0.6,22,200,16310,16326,17249,0.08,0.68,1.333333333,76.91666667,perm
,,,,,200,17387,17428,,0.205,0.895,,,perm
