File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Des 1,Des 2,Des 3
"w1,7_h4,6_ts500_phic_1ml,min_150fps_1",2.7,4.6,0.6,1,150,612,637,1355,0.166666667,4.786666667,2.777777778,79.77777778,perm,,
,2.7,4.6,0.6,2,150,1396,1411,2015,0.1,4.026666667,1.666666667,67.11111111,perm,,
,2.7,4.6,0.6,3,150,2078,2097,2798,0.126666667,4.673333333,2.111111111,77.88888889,perm,,"started as partial, some granules leaked, turned into permanent clog"
,2.7,4.6,0.6,4,150,2854,2869,3611,0.1,4.946666667,1.666666667,82.44444444,perm,,
,2.7,4.6,0.6,5,150,3658,3680,3743,0.146666667,0.42,2.444444444,7,temporary,,
,2.7,4.6,0.6,6,150,3760,3793,4376,0.22,3.886666667,3.666666667,64.77777778,perm,,
,2.7,4.6,0.6,7,150,4431,4453,5264,0.146666667,5.406666667,2.444444444,90.11111111,perm,,
,2.7,4.6,0.6,8,150,5311,5315,5998,0.026666667,4.553333333,0.444444444,75.88888889,perm,,
,2.7,4.6,0.6,9,150,6049,6066,6704,0.113333333,4.253333333,1.888888889,70.88888889,perm,,
,2.7,4.6,0.6,10,150,6763,6767,7308,0.026666667,3.606666667,0.444444444,60.11111111,perm,,
,,,,,150,7372,7378,,,,,,,,
,,,,,,,,,,,,,,,
"w1,7_h4,6_ts500_phic_1ml,min_150fps_2",2.7,4.6,0.6,1,150,342,347,730,0.033333333,2.553333333,0.555555556,42.55555556,perm,,
,2.7,4.6,0.6,2,150,768,785,1261,0.113333333,3.173333333,1.888888889,52.88888889,perm,,
,2.7,4.6,0.6,3,150,1283,1338,1914,0.366666667,3.84,6.111111111,64,perm,,
,2.7,4.6,0.6,4,150,1964,1978,2574,0.093333333,3.973333333,1.555555556,66.22222222,perm,,
,2.7,4.6,0.6,5,150,2629,2634,2724,0.033333333,0.6,0.555555556,10,temporary,partial,
,2.7,4.6,0.6,6,150,2724,2794,3507,0.466666667,4.753333333,7.777777778,79.22222222,perm,,
,2.7,4.6,0.6,7,150,3570,3577,4153,0.046666667,3.84,0.777777778,64,perm,,
,2.7,4.6,0.6,8,150,4210,4215,4726,0.033333333,3.406666667,0.555555556,56.77777778,perm,,
,2.7,4.6,0.6,9,150,4786,4789,5276,0.02,3.246666667,0.333333333,54.11111111,perm,,
,2.7,4.6,0.6,10,150,5354,5386,5972,0.213333333,3.906666667,3.555555556,65.11111111,perm,,
