File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Unnamed: 13
"w1,7_h3,1_ts500_phic_1ml,min_200fps_1",1.7,3.1,0.6,1.0,200.0,1191.0,1199.0,1664.0,0.04,,0.666666667,38.75,perm
,1.7,3.1,0.6,2.0,200.0,1817.0,1822.0,2477.0,0.025,0.79,0.416666667,54.58333333,perm
,1.7,3.1,0.6,3.0,200.0,2617.0,2620.0,3128.0,0.015,0.715,0.25,42.33333333,perm
,1.7,3.1,0.6,4.0,200.0,3258.0,3261.0,3802.0,0.015,0.665,0.25,45.08333333,perm
,1.7,3.1,0.6,5.0,200.0,3914.0,3927.0,4481.0,0.065,0.625,1.083333333,46.16666667,perm
,1.7,3.1,0.6,6.0,200.0,4594.0,4604.0,5243.0,0.05,0.615,0.833333333,53.25,perm
,1.7,3.1,0.6,7.0,200.0,5351.0,5361.0,6033.0,0.05,0.59,0.833333333,56.0,perm
,1.7,3.1,0.6,8.0,200.0,6138.0,6144.0,6731.0,0.03,0.555,0.5,48.91666667,perm
,1.7,3.1,0.6,9.0,200.0,6834.0,6845.0,7334.0,0.055,0.57,0.916666667,40.75,perm
,1.7,3.1,0.6,10.0,200.0,7438.0,7440.0,7933.0,0.01,0.53,0.166666667,41.08333333,perm
,1.7,3.1,0.6,11.0,200.0,8048.0,8052.0,8661.0,0.02,0.595,0.333333333,50.75,perm
,1.7,3.1,0.6,12.0,200.0,8771.0,8775.0,9428.0,0.02,0.57,0.333333333,54.41666667,perm
,1.7,3.1,0.6,13.0,200.0,9543.0,9548.0,10175.0,0.025,0.6,0.416666667,52.25,perm
,1.7,3.1,0.6,14.0,200.0,10278.0,10285.0,10902.0,0.035,0.55,0.583333333,51.41666667,perm
,1.7,3.1,0.6,15.0,200.0,11005.0,11009.0,11754.0,0.02,0.535,0.333333333,62.08333333,perm
,1.7,3.1,0.6,16.0,200.0,11865.0,11868.0,12587.0,0.015,0.57,0.25,59.91666667,perm
,1.7,3.1,0.6,17.0,200.0,12726.0,12730.0,13311.0,0.02,0.715,0.333333333,48.41666667,perm
,1.7,3.1,0.6,18.0,200.0,13418.0,13421.0,14149.0,0.015,0.55,0.25,60.66666667,perm
,1.7,3.1,0.6,19.0,200.0,14259.0,14270.0,14937.0,0.055,0.605,0.916666667,55.58333333,perm
,1.7,3.1,0.6,20.0,200.0,15049.0,15051.0,15688.0,0.01,0.57,0.166666667,53.08333333,perm
,1.7,3.1,0.6,21.0,200.0,15854.0,15859.0,16511.0,0.025,0.855,0.416666667,54.33333333,perm
,1.7,3.1,0.6,22.0,200.0,16625.0,16646.0,17377.0,0.105,0.675,1.75,60.91666667,perm
,1.7,3.1,0.6,23.0,200.0,17507.0,17518.0,18278.0,0.055,0.705,0.916666667,63.33333333,perm
,1.7,3.1,0.6,24.0,200.0,18419.0,18437.0,19248.0,0.09,0.795,1.5,67.58333333,perm
,,,,,200.0,19362.0,19396.0,,0.17,0.74,,,temp
,,,,,,,,,,,,,
