File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes
"w1,7_h4,1_ts500_phic_1ml,min_200fps_2",,,,,,,,,,,,,
,1.7,4.1,,1.0,180.0,727.0,763.0,1638.0,0.2,4.861111111,3.333333333,81.01851852,permanent
,1.7,4.1,,2.0,180.0,1638.0,1647.0,2693.0,0.05,5.811111111,0.833333333,96.85185185,permanent
,1.7,4.1,,3.0,180.0,2693.0,2703.0,3561.0,0.055555556,4.766666667,0.925925926,79.44444444,permanent
,1.7,4.1,,4.0,180.0,3561.0,3584.0,4617.0,0.127777778,5.738888889,2.12962963,95.64814815,"permanent, a few granules leaked"
,1.7,4.1,,5.0,180.0,4617.0,4646.0,5626.0,0.161111111,5.444444444,2.685185185,90.74074074,permanent
,1.7,4.1,,6.0,180.0,5626.0,5658.0,6871.0,0.177777778,6.738888889,2.962962963,112.3148148,"permanent, a few granules leaked"
,1.7,4.1,,7.0,180.0,6871.0,6890.0,7793.0,0.105555556,5.016666667,1.759259259,83.61111111,permanent
,1.7,4.1,,8.0,180.0,7793.0,7805.0,8573.0,0.066666667,4.266666667,1.111111111,71.11111111,permanent
,1.7,4.1,,9.0,180.0,8573.0,8594.0,9613.0,0.116666667,5.661111111,1.944444444,94.35185185,permanent
,1.7,4.1,,10.0,180.0,9613.0,9625.0,10505.0,0.066666667,4.888888889,1.111111111,81.48148148,permanent
,1.7,4.1,,11.0,180.0,10505.0,10521.0,11381.0,0.088888889,4.777777778,1.481481481,79.62962963,permanent
,1.7,4.1,,12.0,180.0,11381.0,11394.0,12082.0,0.072222222,3.822222222,1.203703704,63.7037037,"permanent, a few granules leaked"
,1.7,4.1,,13.0,180.0,12082.0,12090.0,13409.0,0.044444444,7.327777778,0.740740741,122.1296296,permanent
,1.7,4.1,,14.0,180.0,13409.0,13442.0,14492.0,0.183333333,5.833333333,3.055555556,97.22222222,permanent
,1.7,4.1,,15.0,180.0,14492.0,14504.0,15373.0,0.066666667,4.827777778,1.111111111,80.46296296,permanent
,1.7,4.1,,16.0,180.0,15373.0,15381.0,16212.0,0.044444444,4.616666667,0.740740741,76.94444444,"permanent, a few granules leaked"
,1.7,4.1,,17.0,180.0,16212.0,16223.0,17394.0,0.061111111,6.505555556,1.018518519,108.4259259,"permanent, a partial arch first formed and led to a full arch"
,1.7,4.1,,18.0,180.0,17394.0,17428.0,19396.0,0.188888889,10.93333333,3.148148148,182.2222222,"permanent, quite a few granules leaked"
,1.7,4.1,,19.0,180.0,19396.0,19406.0,20306.0,0.055555556,5.0,0.925925926,83.33333333,permanent
,1.7,4.1,,20.0,180.0,20306.0,20389.0,21261.0,0.461111111,4.844444444,7.685185185,80.74074074,permanent
,1.7,4.1,,21.0,180.0,21261.0,21272.0,,0.061111111,-118.1777778,1.018518519,-1969.62963,video ended
