File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Des 1,Des 2,Des 3
"w1,7_h4,6_ts500_phic_1ml,min_150fps_1",2.7,4.6,0.6,1,150,612,637,1355,0.166666667,4.786666667,2.777777778,79.77777778,perm,,
,2.7,4.6,0.6,2,150,1396,1411,2015,0.1,4.026666667,1.666666667,67.11111111,perm,,
,2.7,4.6,0.6,3,150,2078,2097,2798,0.126666667,4.673333333,2.111111111,77.88888889,perm,,"started as partial, some granules leaked, turned into permanent clog"
,2.7,4.6,0.6,4,150,2854,2869,3611,0.1,4.946666667,1.666666667,82.44444444,perm,,
,2.7,4.6,0.6,5,150,3658,3680,3743,0.146666667,0.42,2.444444444,7,temporary,,
,2.7,4.6,0.6,6,150,3760,3793,4376,0.22,3.886666667,3.666666667,64.77777778,perm,,
,2.7,4.6,0.6,7,150,4431,4453,5264,0.146666667,5.406666667,2.444444444,90.11111111,perm,,
,2.7,4.6,0.6,8,150,5311,5315,5998,0.026666667,4.553333333,0.444444444,75.88888889,perm,,
,2.7,4.6,0.6,9,150,6049,6066,6704,0.113333333,4.253333333,1.888888889,70.88888889,perm,,
,2.7,4.6,0.6,10,150,6763,6767,7308,0.026666667,3.606666667,0.444444444,60.11111111,perm,,
,,,,,150,7372,7378,,,,,,,,
