File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],Unnamed: 13,Des 1,Des 2,Des 3
"w2,7_h2,6_ts500_phic_1ml,min_100fps_6",2.7,2.6,0.6,1,100,24,343,1135,3.19,7.92,53.16666667,0,perm,,,
,2.7,2.6,0.6,2,100,1208,1232,1696,0.24,4.64,4,0,perm,,,
,2.7,2.6,0.6,3,100,1754,1812,1997,0.58,1.85,9.666666667,30.83333333,temporary,,,
,2.7,2.6,0.6,4,100,2006,2125,2151,1.19,0.26,19.83333333,4.333333333,temporary,,,
,2.7,2.6,0.6,5,100,2155,2194,2732,0.39,5.38,6.5,0,perm,,,
,2.7,2.6,0.6,6,100,2790,2824,3412,0.34,5.88,5.666666667,0,perm,,,
,2.7,2.6,0.6,7,100,3464,3541,4187,0.77,6.46,12.83333333,0,perm,,,
,2.7,2.6,0.6,8,100,4250,4336,5052,0.86,7.16,14.33333333,0,perm,,,
,2.7,2.6,0.6,9,100,5109,5870,6818,7.61,9.48,126.8333333,0,perm,,,
,2.7,2.6,0.6,10,100,6876,7014,7567,1.38,5.53,23,0,perm,,,
,2.7,2.6,0.6,11,100,7621,7647,8237,0.26,5.9,4.333333333,0,perm,,,
,2.7,2.6,0.6,12,100,8291,8363,8390,0.72,0.27,12,4.5,temporary,,,
,2.7,2.6,0.6,13,100,8390,8486,,0.96,,16,0,,,,
