File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes,Unnamed: 14
"w2,7_h3,1_ts500_phic_1ml,min_100fps_2",, ,u,,,,,,,,,,,
,2.7,3.1,5.919258473,1,100,292,350,803,0.58,4.53,9.666666667,75.5,temp,
,2.7,3.1,tau = d/u,2,100,803,924,1942,1.21,10.18,20.16666667,0,permanent,
,2.7,3.1,0.097985246,3,100,1942,2172,3103,2.3,9.31,38.33333333,0,permanent,
,2.7,3.1,tau* = 0.2,4,100,3103,3221,4165,1.18,9.44,19.66666667,0,permanent,
,2.7,3.1,,5,100,4165,4350,5658,1.85,13.08,30.83333333,0,permanent,
,2.7,3.1,,6,100,5658,5709,5715,0.51,0.06,8.5,0,temp,
,2.7,3.1,,7,100,5715,5850,6732,1.35,8.82,22.5,0,permanent,
,2.7,3.1,,8,100,6732,6865,7625,1.33,7.6,22.16666667,0,permanent,
,2.7,3.1,,9,100,7625,7745,8522,1.2,7.77,20,0,permanent,
,2.7,3.1,,10,100,8522,8603,,0.81,,13.5,0,video ended,
